ID,start_time,end_time,correction_value
H276,2021/07/16 14:00:00,2021/07/17 01:00:00,-0.5
H298,2021/07/07 18:00:00,2021/07/08 20:00:00,-0.5
H241,2021/08/04 22:00:00,2021/08/06 09:00:00,-1.8
H254,2021/07/07 21:00:00,2021/07/08 15:00:00,0.0
H230,2021/07/12 21:00:00,2021/07/13 12:00:00,-2.05
H278,2021/07/23 10:00:00,2021/07/24 21:00:00,-1.8
H216,2021/07/27 16:30:00,2021/07/28 02:30:00,0.0
H248,2021/07/02 17:00:00,2021/07/03 11:00:00,-0.5
H248,2021/07/09 21:00:00,2021/07/10 13:00:00,-0.5
H275,2021/08/12 15:00:00,2021/08/13 02:00:00,-0.4
H211,2021/07/29 12:00:00,2021/07/30 05:00:00,-0.4
H273,2021/07/12 10:00:00,2021/07/12 18:30:00,-1.8


